CaseID,ActivityID,Duration,TimeSinceLastEvent,Timestamp
0,1,218,218,218
0,2,215,215,433
0,3,736,736,1169
0,4,1539,1539,2708
0,5,2880,172,2880
0,6,696,696,3576
0,7,515,515,4091
0,8,1280,1280,5371
0,13,7559,7559,12930
0,14,2865,2865,15795
0,15,1265,1265,17060
0,16,434,434,17494
1,1,584,584,584
1,2,297,297,881
1,3,1415,1415,2296
1,5,2888,592,2888
1,6,239,239,3127
1,7,756,756,3883
1,6,331,331,4214
1,7,1142,1142,5356
1,4,5790,2730,8086
1,8,6628,3898,11984
1,13,3016,3016,15000
1,14,286,286,15286
1,15,526,526,15812
1,16,445,445,16257
2,1,4119,4119,4119
2,2,280,280,4399
2,3,547,547,4946
2,4,321,321,5267
2,13,642,642,5909
2,14,969,969,6878
2,15,1280,1280,8158
2,16,1520,1520,9678
3,1,169,169,169
3,2,777,777,946
3,3,577,577,1523
3,2,1109,1109,2632
3,3,820,820,3452
3,4,535,535,3987
3,13,3176,3176,7163
3,14,883,883,8046
3,15,956,956,9002
3,16,159,159,9161
4,1,1485,1485,1485
4,2,241,241,1726
4,3,612,612,2338
4,2,289,289,2627
4,3,135,135,2762
4,4,1255,1255,4017
4,13,179,179,4196
4,14,131,131,4327
4,15,167,167,4494
4,14,872,872,5366
4,15,346,346,5712
4,16,4797,4797,10509
5,5,59,59,59
5,1,98,39,98
5,2,259,259,357
5,3,223,223,580
5,4,115,115,695
5,6,1934,1298,1993
5,7,2270,2270,4263
5,8,21025,21025,25288
5,13,29,29,25317
5,14,308,308,25625
5,15,682,682,26307
5,16,467,467,26774
6,5,33,33,33
6,9,153,120,153
6,1,212,59,212
6,10,181,122,334
6,6,399,98,432
6,11,181,83,515
6,7,164,81,596
6,10,764,683,1279
6,8,727,44,1323
6,11,108,64,1387
6,2,1267,92,1479
6,3,135,135,1614
6,12,1258,1031,2645
6,4,2161,1130,3775
6,13,81,81,3856
6,14,763,763,4619
6,15,79,79,4698
6,16,151,151,4849
7,1,87,87,87
7,5,110,23,110
7,2,232,209,319
7,3,154,154,473
7,6,371,8,481
7,7,143,143,624
7,2,563,412,1036
7,3,182,182,1218
7,8,919,325,1543
7,4,374,49,1592
7,13,19,19,1611
7,14,298,298,1909
7,15,678,678,2587
7,16,161,161,2748
8,1,68,68,68
8,2,514,514,582
8,3,219,219,801
8,4,1170,1170,1971
8,13,1074,1074,3045
8,14,677,677,3722
8,15,695,695,4417
8,16,2830,2830,7247
9,1,6013,6013,6013
9,2,385,385,6398
9,3,635,635,7033
9,4,672,672,7705
9,13,336,336,8041
9,14,481,481,8522
9,15,625,625,9147
9,16,218,218,9365
10,1,96,96,96
10,5,154,58,154
10,6,187,187,341
10,2,758,513,854
10,7,643,130,984
10,3,152,22,1006
10,4,193,193,1199
10,8,282,67,1266
10,13,1088,1088,2354
10,14,685,685,3039
10,15,581,581,3620
10,16,223,223,3843
11,1,1157,1157,1157
11,2,346,346,1503
11,3,179,179,1682
11,4,977,977,2659
11,13,591,591,3250
11,14,257,257,3507
11,15,127,127,3634
11,16,20,20,3654
12,1,112,112,112
12,9,216,104,216
12,5,310,94,310
12,10,102,8,318
12,11,187,187,505
12,2,965,572,1077
12,6,845,78,1155
12,3,186,108,1263
12,4,11,11,1274
12,7,157,38,1312
12,8,47,47,1359
12,12,869,15,1374
12,13,59,59,1433
12,14,254,254,1687
12,15,319,319,2006
12,16,140,140,2146
13,5,733,733,733
13,6,1059,1059,1792
13,7,759,759,2551
13,1,3004,453,3004
13,2,324,324,3328
13,8,1320,543,3871
13,3,808,265,4136
13,4,200,200,4336
13,13,40,40,4376
13,14,475,475,4851
13,15,1058,1058,5909
13,16,934,934,6843
14,1,136,136,136
14,2,182,182,318
14,9,538,220,538
14,10,36,36,574
14,3,1093,837,1411
14,11,987,150,1561
14,4,289,139,1700
14,5,1814,114,1814
14,12,693,440,2254
14,6,653,213,2467
14,7,917,917,3384
14,8,1528,1528,4912
14,13,133,133,5045
14,14,406,406,5451
14,15,749,749,6200
14,16,164,164,6364
15,1,413,413,413
15,2,859,859,1272
15,3,928,928,2200
15,2,1531,1531,3731
15,3,1282,1282,5013
15,4,687,687,5700
15,13,36949,36949,42649
15,14,1075,1075,43724
15,15,983,983,44707
15,16,11,11,44718
16,1,254,254,254
16,5,792,538,792
16,2,894,356,1148
16,6,792,436,1584
16,7,1353,1353,2937
16,3,2375,586,3523
16,4,580,580,4103
16,8,2110,944,5047
16,13,2589,2589,7636
16,14,532,532,8168
16,15,720,720,8888
16,16,108,108,8996
17,5,1315,1315,1315
17,6,2099,2099,3414
17,7,840,840,4254
17,8,427,427,4681
17,1,26485,21804,26485
17,2,963,963,27448
17,3,1027,1027,28475
17,4,5,5,28480
17,13,390,390,28870
17,14,565,565,29435
17,15,1527,1527,30962
17,16,1681,1681,32643
18,1,140,140,140
18,2,713,713,853
18,3,381,381,1234
18,4,2959,2959,4193
18,13,1730,1730,5923
18,14,1590,1590,7513
18,15,733,733,8246
18,14,409,409,8655
18,15,635,635,9290
18,16,1115,1115,10405
19,5,488,488,488
19,6,140,140,628
19,7,543,543,1171
19,6,1150,1150,2321
19,7,808,808,3129
19,8,1037,1037,4166
19,1,4568,402,4568
19,2,934,934,5502
19,3,260,260,5762
19,2,655,655,6417
19,3,688,688,7105
19,4,3013,3013,10118
19,13,1283,1283,11401
19,14,629,629,12030
19,15,784,784,12814
19,16,492,492,13306
20,5,53,53,53
20,1,167,114,167
20,6,268,154,321
20,2,278,124,445
20,7,562,438,883
20,3,584,146,1029
20,8,260,114,1143
