CaseID,ActivityID,Duration,TimeSinceLastEvent,Timestamp,PlannedDuration,PlannedTimestamp,InstanceID
0,1,218,218,218,199,199,0
0,2,215,215,433,210,409,0
0,3,736,736,1169,935,1344,0
0,4,1539,1539,2708,840,2184,0
0,13,7559,7559,10267,9919,12103,0
0,14,2865,2865,13132,240,12343,0
0,15,1265,1265,14397,1330,13673,0
0,16,434,434,14831,780,14453,0
1,1,584,584,584,844,844,1
1,2,297,297,881,90,934,1
1,3,1415,1415,2296,1935,2869,1
1,4,5790,5790,8086,3780,6649,1
1,13,3016,3016,11102,3030,9679,1
1,14,286,286,11388,300,9979,1
1,15,526,526,11914,835,10814,1
1,16,445,445,12359,3870,14684,1
2,1,4119,4119,4119,4380,4380,2
2,2,280,280,4399,90,4470,2
2,3,547,547,4946,905,5375,2
2,4,321,321,5267,3780,9155,2
2,13,642,642,5909,1433,10588,2
2,14,969,969,6878,240,10828,2
2,15,1280,1280,8158,1200,12028,2
2,16,1520,1520,9678,550,12578,2
3,1,169,169,169,759,759,3
3,2,777,777,946,240,999,3
3,3,577,577,1523,340,1339,3
3,2,1109,1109,2632,1340,2679,3
3,3,820,820,3452,1240,3919,3
3,4,535,535,3987,335,4254,3
3,13,3176,3176,7163,3963,8217,3
3,14,883,883,8046,90,8307,3
3,15,956,956,9002,815,9122,3
3,16,159,159,9161,3780,12902,3
4,1,1485,1485,1485,1597,1597,4
4,2,241,241,1726,150,1747,4
4,3,612,612,2338,585,2332,4
4,2,289,289,2627,340,2672,4
4,3,135,135,2762,130,2802,4
4,4,1255,1255,4017,4230,7032,4
4,13,179,179,4196,152,7184,4
4,14,131,131,4327,180,7364,4
4,15,167,167,4494,230,7594,4
4,14,872,872,5366,810,8404,4
4,15,346,346,5712,740,9144,4
4,16,4797,4797,10509,4140,13284,4
5,1,98,98,98,181,181,5
5,2,259,259,357,240,421,5
5,3,223,223,580,215,636,5
5,4,115,115,695,4890,5526,5
5,13,29,29,724,136,5662,5
5,14,308,308,1032,240,5902,5
5,15,682,682,1714,960,6862,5
5,16,467,467,2181,3960,10822,5
6,1,212,212,212,1300,1300,6
6,2,1267,1267,1479,240,1540,6
6,3,135,135,1614,270,1810,6
6,4,2161,2161,3775,5070,6880,6
6,13,81,81,3856,329,7209,6
6,14,763,763,4619,570,7779,6
6,15,79,79,4698,80,7859,6
6,16,151,151,4849,2880,10739,6
7,1,87,87,87,139,139,7
7,2,232,232,319,240,379,7
7,3,154,154,473,255,634,7
7,2,563,563,1036,460,1094,7
7,3,182,182,1218,215,1309,7
7,4,374,374,1592,4890,6199,7
7,13,19,19,1611,119,6318,7
7,14,298,298,1909,240,6558,7
7,15,678,678,2587,960,7518,7
7,16,161,161,2748,3960,11478,7
8,1,68,68,68,387,387,8
8,2,514,514,582,240,627,8
8,3,219,219,801,285,912,8
8,4,1170,1170,1971,5160,6072,8
8,13,1074,1074,3045,933,7005,8
8,14,677,677,3722,180,7185,8
8,15,695,695,4417,885,8070,8
8,16,2830,2830,7247,6680,14750,8
9,1,6013,6013,6013,6145,6145,9
9,2,385,385,6398,300,6445,9
9,3,635,635,7033,810,7255,9
9,4,672,672,7705,1560,8815,9
9,13,336,336,8041,495,9310,9
9,14,481,481,8522,300,9610,9
9,15,625,625,9147,820,10430,9
9,16,218,218,9365,3960,14390,9
10,1,96,96,96,748,748,10
10,2,758,758,854,150,898,10
10,3,152,152,1006,395,1293,10
10,4,193,193,1199,3960,5253,10
10,13,1088,1088,2287,1580,6833,10
10,14,685,685,2972,240,7073,10
10,15,581,581,3553,905,7978,10
10,16,223,223,3776,3960,11938,10
11,1,1157,1157,1157,1415,1415,11
11,2,346,346,1503,150,1565,11
11,3,179,179,1682,280,1845,11
11,4,977,977,2659,5160,7005,11
11,13,591,591,3250,730,7735,11
11,14,257,257,3507,180,7915,11
11,15,127,127,3634,145,8060,11
11,16,20,20,3654,2880,10940,11
12,1,112,112,112,898,898,12
12,2,965,965,1077,240,1138,12
12,3,186,186,1263,415,1553,12
12,4,11,11,1274,6715,8268,12
12,13,59,59,1333,238,8506,12
12,14,254,254,1587,135,8641,12
12,15,319,319,1906,280,8921,12
12,16,140,140,2046,5160,14081,12
13,1,3004,3004,3004,3140,3140,13
