CaseID,ActivityString,Duration,TimeSinceLastEvent,Timestamp,PlannedDuration,PlannedTimestamp,InstanceID,StartTime,FinishedActivity
0,AE,218,218,218,199,199,0,0,A
0,BE,215,215,433,210,409,0,218,B
0,CE,736,736,1169,935,1344,0,433,C
0,DE,1539,1539,2708,840,2184,0,1169,D
0,E,2880,172,2880,3315,3315,0,0,E
0,F,696,696,3576,300,3615,0,2880,F
0,G,515,515,4091,1965,5580,0,3576,G
0,H,1280,1280,5371,2760,8340,0,4091,H
0,M,7559,7559,12930,9919,18259,0,5371,M
0,N,2865,2865,15795,240,18499,0,12930,N
0,O,1265,1265,17060,1330,19829,0,15795,O
0,P,434,434,17494,780,20609,0,17060,P
1,AE,584,584,584,844,844,1,0,A
1,BE,297,297,881,90,934,1,584,B
1,CE,1415,1415,2296,1935,2869,1,881,C
1,DE,2888,592,2888,2964,2964,1,0,E
1,DF,239,239,3127,180,3144,1,2888,F
1,DG,756,756,3883,970,4114,1,3127,G
1,DF,331,331,4214,160,4274,1,3883,F
1,DG,1142,1142,5356,1080,5354,1,4214,G
1,DH,5790,2730,8086,3780,6649,1,2296,D
1,H,6628,3898,11984,7020,12374,1,5356,H
1,M,3016,3016,15000,3030,15404,1,11984,M
1,N,286,286,15286,300,15704,1,15000,N
1,O,526,526,15812,835,16539,1,15286,O
1,P,445,445,16257,3870,20409,1,15812,P
2,A,4119,4119,4119,4380,4380,2,0,A
2,B,280,280,4399,90,4470,2,4119,B
2,C,547,547,4946,905,5375,2,4399,C
2,D,321,321,5267,3780,9155,2,4946,D
2,M,642,642,5909,1433,10588,2,5267,M
2,N,969,969,6878,240,10828,2,5909,N
2,O,1280,1280,8158,1200,12028,2,6878,O
2,P,1520,1520,9678,550,12578,2,8158,P
3,A,169,169,169,759,759,3,0,A
3,B,777,777,946,240,999,3,169,B
3,C,577,577,1523,340,1339,3,946,C
3,B,1109,1109,2632,1340,2679,3,1523,B
3,C,820,820,3452,1240,3919,3,2632,C
3,D,535,535,3987,335,4254,3,3452,D
3,M,3176,3176,7163,3963,8217,3,3987,M
3,N,883,883,8046,90,8307,3,7163,N
3,O,956,956,9002,815,9122,3,8046,O
3,P,159,159,9161,3780,12902,3,9002,P
4,A,1485,1485,1485,1597,1597,4,0,A
4,B,241,241,1726,150,1747,4,1485,B
4,C,612,612,2338,585,2332,4,1726,C
4,B,289,289,2627,340,2672,4,2338,B
4,C,135,135,2762,130,2802,4,2627,C
4,D,1255,1255,4017,4230,7032,4,2762,D
4,M,179,179,4196,152,7184,4,4017,M
4,N,131,131,4327,180,7364,4,4196,N
4,O,167,167,4494,230,7594,4,4327,O
4,N,872,872,5366,810,8404,4,4494,N
4,O,346,346,5712,740,9144,4,5366,O
4,P,4797,4797,10509,4140,13284,4,5712,P
5,AE,59,59,59,59,59,5,0,E
5,AF,98,39,98,181,181,5,0,A
5,BF,259,259,357,240,421,5,98,B
5,CF,223,223,580,215,636,5,357,C
5,DF,115,115,695,4890,5526,5,580,D
5,F,1934,1298,1993,525,584,5,59,F
5,G,2270,2270,4263,3615,4199,5,1993,G
5,H,21025,21025,25288,3960,8159,5,4263,H
5,M,29,29,25317,136,8295,5,25288,M
5,N,308,308,25625,240,8535,5,25317,N
5,O,682,682,26307,960,9495,5,25625,O
5,P,467,467,26774,3960,13455,5,26307,P
6,AEI,33,33,33,252,252,6,0,E
6,AFI,153,120,153,250,250,6,0,I
6,AFJ,212,59,212,1300,1300,6,0,A
6,BFJ,181,122,334,150,400,6,153,J
6,BFK,399,98,432,240,492,6,33,F
6,BGK,181,83,515,525,925,6,334,K
6,BGJ,164,81,596,275,767,6,432,G
6,BHJ,764,683,1279,415,1340,6,515,J
6,BHK,727,44,1323,5070,5837,6,596,H
6,BK,108,64,1387,80,1420,6,1279,K
6,BL,1267,92,1479,240,1540,6,212,B
6,CL,135,135,1614,270,1810,6,1479,C
6,DL,1258,1031,2645,2880,4300,6,1387,L
6,D,2161,1130,3775,5070,6880,6,1614,D
6,M,81,81,3856,329,7209,6,3775,M
6,N,763,763,4619,570,7779,6,3856,N
6,O,79,79,4698,80,7859,6,4619,O
6,P,151,151,4849,2880,10739,6,4698,P
7,AE,87,87,87,139,139,7,0,A
7,BE,110,23,110,303,303,7,0,E
7,BF,232,209,319,240,379,7,87,B
7,CF,154,154,473,255,634,7,319,C
7,BF,371,8,481,240,543,7,110,F
7,BG,143,143,624,215,758,7,481,G
7,BH,563,412,1036,460,1094,7,473,B
7,CH,182,182,1218,215,1309,7,1036,C
7,DH,919,325,1543,4890,5648,7,624,H
7,D,374,49,1592,4890,6199,7,1218,D
7,M,19,19,1611,119,6318,7,1592,M
7,N,298,298,1909,240,6558,7,1611,N
7,O,678,678,2587,960,7518,7,1909,O
7,P,161,161,2748,3960,11478,7,2587,P
8,A,68,68,68,387,387,8,0,A
8,B,514,514,582,240,627,8,68,B
