CaseID,ActivityID,Duration,TimeSinceLastEvent,Timestamp,PlannedDuration,PlannedTimestamp,InstanceID,EndTimestamp,PlannedEndTimestamp
0,13,7559,7559,7559,9919,9919,0,17494,20609
0,14,2865,2865,10424,240,10159,0,17494,20609
0,15,1265,1265,11689,1330,11489,0,17494,20609
0,16,434,434,12123,780,12269,0,17494,20609
0,1,218,218,12341,199,12468,0,17494,20609
0,2,215,215,12556,210,12678,0,17494,20609
0,3,736,736,13292,935,13613,0,17494,20609
0,4,1539,1539,14831,840,14453,0,17494,20609
0,5,2880,172,15003,3315,15584,0,17494,20609
0,6,696,696,15699,300,15884,0,17494,20609
0,7,515,515,16214,1965,17849,0,17494,20609
0,8,1280,1280,17494,2760,20609,0,17494,20609
1,13,3016,3016,3016,3030,3030,1,16257,20409
1,14,286,286,3302,300,3330,1,16257,20409
1,15,526,526,3828,835,4165,1,16257,20409
1,16,445,445,4273,3870,8035,1,16257,20409
1,1,584,584,4857,844,8879,1,16257,20409
1,2,297,297,5154,90,8969,1,16257,20409
1,3,1415,1415,6569,1935,10904,1,16257,20409
1,5,2888,592,7161,2964,10999,1,16257,20409
1,6,239,239,7400,180,11179,1,16257,20409
1,7,756,756,8156,970,12149,1,16257,20409
1,6,331,331,8487,160,12309,1,16257,20409
1,7,1142,1142,9629,1080,13389,1,16257,20409
1,4,5790,2730,12359,3780,14684,1,16257,20409
1,8,6628,3898,16257,7020,20409,1,16257,20409
2,13,642,642,642,1433,1433,2,9678,12578
2,14,969,969,1611,240,1673,2,9678,12578
2,15,1280,1280,2891,1200,2873,2,9678,12578
2,16,1520,1520,4411,550,3423,2,9678,12578
2,1,4119,4119,8530,4380,7803,2,9678,12578
2,2,280,280,8810,90,7893,2,9678,12578
2,3,547,547,9357,905,8798,2,9678,12578
2,4,321,321,9678,3780,12578,2,9678,12578
3,13,3176,3176,3176,3963,3963,3,9161,12902
3,14,883,883,4059,90,4053,3,9161,12902
3,15,956,956,5015,815,4868,3,9161,12902
3,16,159,159,5174,3780,8648,3,9161,12902
3,1,169,169,5343,759,9407,3,9161,12902
3,2,777,777,6120,240,9647,3,9161,12902
3,3,577,577,6697,340,9987,3,9161,12902
3,2,1109,1109,7806,1340,11327,3,9161,12902
3,3,820,820,8626,1240,12567,3,9161,12902
3,4,535,535,9161,335,12902,3,9161,12902
4,13,179,179,179,152,152,4,10509,13284
4,14,131,131,310,180,332,4,10509,13284
4,15,167,167,477,230,562,4,10509,13284
4,14,872,872,1349,810,1372,4,10509,13284
4,15,346,346,1695,740,2112,4,10509,13284
4,16,4797,4797,6492,4140,6252,4,10509,13284
4,1,1485,1485,7977,1597,7849,4,10509,13284
4,2,241,241,8218,150,7999,4,10509,13284
4,3,612,612,8830,585,8584,4,10509,13284
4,2,289,289,9119,340,8924,4,10509,13284
4,3,135,135,9254,130,9054,4,10509,13284
4,4,1255,1255,10509,4230,13284,4,10509,13284
5,13,29,29,29,136,136,5,26774,13455
5,14,308,308,337,240,376,5,26774,13455
5,15,682,682,1019,960,1336,5,26774,13455
5,16,467,467,1486,3960,5296,5,26774,13455
5,5,59,59,1545,59,5355,5,26774,13455
5,1,98,39,1584,181,5477,5,26774,13455
5,2,259,259,1843,240,5717,5,26774,13455
5,3,223,223,2066,215,5932,5,26774,13455
5,4,115,115,2181,4890,10822,5,26774,13455
5,6,1934,1298,3479,525,5880,5,26774,13455
5,7,2270,2270,5749,3615,9495,5,26774,13455
5,8,21025,21025,26774,3960,13455,5,26774,13455
6,13,81,81,81,329,329,6,4849,10739
6,14,763,763,844,570,899,6,4849,10739
6,15,79,79,923,80,979,6,4849,10739
6,16,151,151,1074,2880,3859,6,4849,10739
6,5,33,33,1107,252,4111,6,4849,10739
6,9,153,120,1227,250,4109,6,4849,10739
6,1,212,59,1286,1300,5159,6,4849,10739
6,10,181,122,1408,150,4259,6,4849,10739
6,6,399,98,1506,240,4351,6,4849,10739
6,11,181,83,1589,525,4784,6,4849,10739
6,7,164,81,1670,275,4626,6,4849,10739
6,10,764,683,2353,415,5199,6,4849,10739
6,8,727,44,2397,5070,9696,6,4849,10739
6,11,108,64,2461,80,5279,6,4849,10739
6,2,1267,92,2553,240,5399,6,4849,10739
6,3,135,135,2688,270,5669,6,4849,10739
6,12,1258,1031,3719,2880,8159,6,4849,10739
